Geo Point;Geo Shape;OBJECTID_1;gares_id;nom_long;nom_so_gar;nom_su_gar;id_ref_ZdC;nom_ZdC;id_ref_ZdA;nom_ZdA;idrefliga;idrefligc;res_com;indice_lig;mode;tertrain;terrer;termetro;tertram;terval;exploitant;idf;principal;x;y;picto ligne;nom_iv
48.94586727214251, 2.3646364825042263;"{""coordinates"": [2.364636482504226, 48.94586727214251], ""type"": ""Point""}";830;763;Saint-Denis - Université;;;72358;Saint-Denis Université (Paris 8);44860;Saint-Denis - Université;A01546;C01383;METRO 13;13;METRO;0;0;METRO 13;0;0;RATP;1;0;653461.3754;6871954.0026;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1;Saint-Denis - Université
48.85144170744032, 2.314408121472487;"{""coordinates"": [2.314408121472487, 48.85144170744032], ""type"": ""Point""}";832;765;Saint-François-Xavier;;;71204;Saint-François Xavier;45139;Saint-François Xavier;A01546;C01383;METRO 13;13;METRO;0;0;0;0;0;RATP;1;0;649691.21;6861485.1181;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1;Saint-François-Xavier
48.85687137924919, 2.315056637317088;"{""coordinates"": [2.315056637317088, 48.85687137924919], ""type"": ""Point""}";841;873;Varenne;;;71232;Varenne;45131;Varenne;A01546;C01383;METRO 13;13;METRO;0;0;0;0;0;RATP;1;0;649744.034;6862088.4335;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1;Varenne
48.84232743772649, 2.320984834266813;"{""coordinates"": [2.320984834266813, 48.84232743772649], ""type"": ""Point""}";865;563;Montparnasse-Bienvenüe;;;71139;Gare Montparnasse;58578;Montparnasse Bienvenue;A01546;C01383;METRO 13;13;METRO;0;0;0;0;0;RATP;1;1;650165.083;6860467.533;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1;Montparnasse-Bienvenüe
48.87066702089795, 2.3257526352867255;"{""coordinates"": [2.325752635286725, 48.87066702089795], ""type"": ""Point""}";732;488;Madeleine;;;71324;Madeleine;43898;Madeleine;A01547;C01384;METRO 14;14;METRO;0;0;0;0;0;RATP;1;0;650541.9048;6863615.6397;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/9bca75433eb738dae9e4d3657b7a3de5;Madeleine
48.829990199899186, 2.375747983215603;"{""coordinates"": [2.375747983215603, 48.829990199899186], ""type"": ""Point""}";966;72;Bibliothèque François Mitterrand;;;71572;Bibliothèque François Mitterrand Emile Durkheim;473111;Bibliothèque François Mitterrand;A01547;C01384;METRO 14;14;METRO;0;0;0;0;0;RATP;1;0;654240.7124;6859052.7664;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/9bca75433eb738dae9e4d3657b7a3de5;Bibliothèque François Mitterrand
48.8647940649002, 2.2941620153942797;"{""coordinates"": [2.29416201539428, 48.8647940649002], ""type"": ""Point""}";689;359;Iéna;;;71294;Iéna;43395;Iéna;A01542;C01379;METRO 9;9;METRO;0;0;0;0;0;RATP;1;0;648218.8596;6862982.8661;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/78e78b6d779fd1700a65a68abe9b1b7a;Iéna
48.84789565020843, 2.2640820307462217;"{""coordinates"": [2.264082030746222, 48.84789565020843], ""type"": ""Point""}";707;543;Michel Ange-Auteuil;;;71206;Michel-Ange - Auteuil;44138;Michel-Ange - Auteuil;A01542;C01379;METRO 9;9;METRO;0;0;0;0;0;RATP;1;0;645994.7057;6861124.0745;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/78e78b6d779fd1700a65a68abe9b1b7a;Michel Ange-Auteuil
48.873733165607064, 2.314743542030632;"{""coordinates"": [2.314743542030632, 48.873733165607064], ""type"": ""Point""}";713;549;Miromesnil;;;71346;Miromesnil;43511;Miromesnil;A01542;C01379;METRO 9;9;METRO;0;0;0;0;0;RATP;1;0;649737.3332;6863963.5235;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/78e78b6d779fd1700a65a68abe9b1b7a;Miromesnil
48.87204586272729, 2.3100189324082736;"{""coordinates"": [2.310018932408274, 48.87204586272729], ""type"": ""Point""}";776;778;Saint-Philippe du Roule;;;71334;Saint-Philippe du Roule;44884;Saint-Philippe du Roule;A01542;C01379;METRO 9;9;METRO;0;0;0;0;0;RATP;1;0;649389.1586;6863778.926;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/78e78b6d779fd1700a65a68abe9b1b7a;Saint-Philippe du Roule
48.855485050404425, 2.2701091389418937;"{""coordinates"": [2.270109138941894, 48.855485050404425], ""type"": ""Point""}";809;722;Ranelagh;;;71243;Ranelagh;44594;Ranelagh;A01542;C01379;METRO 9;9;METRO;0;0;0;0;0;RATP;1;0;646444.7925;6861963.8329;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/78e78b6d779fd1700a65a68abe9b1b7a;Ranelagh
48.86147646373029, 2.373943508245182;"{""coordinates"": [2.373943508245182, 48.86147646373029], ""type"": ""Point""}";910;758;Saint-Ambroise;;;71781;Saint-Ambroise;45205;Saint-Ambroise;A01542;C01379;METRO 9;9;METRO;0;0;0;0;0;RATP;1;0;654068.6725;6862564.6133;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/78e78b6d779fd1700a65a68abe9b1b7a;Saint-Ambroise
